Name,Bio,Identifier,B.A.,B.S.,J.D.,Ph.D.,M.B.A,M.A.,M.S.,M.P.H.,M.D.,D.M.D.,non-JD,none
"DAINES, Steve","['a Senator and a Representative from Montana; born in Van Nuys, Los \r', 'Angeles County, Calif., August 20, 1962; graduated from Bozeman High School, \r', 'Bozeman, Mont.; B.S., Montana State University, Bozeman, Mont., 1984; \r', 'businessman; delegate, Republican National Convention, 1984; unsuccessful \r', 'candidate for lieutenant governor of Montana in 2008; elected as a Republican \r', 'to the One Hundred Thirteenth Congress (January 3, 2013-January 3, 2015); was \r', 'not a candidate for reelection to the House of Representatives but was elected \r', 'as a Republican to the United States Senate in 2014 for the term ending January \r', '3, 2021.\r']",D000618,0,1,0,0,0,0,0,0,0,0,0,1
"DAVIS, Danny K.","['a Representative from Illinois; born in Parkdale, Ashley County, \r', 'Ark., September 6, 1941; graduated from Savage High School, Parkdale, Ark., \r', '1957; B.A., Arkansas A.M.&amp;N. College, Pine Bluff, Ark., 1961; M.S., Chicago \r', 'State University, Chicago, Ill., 1968; Ph.D., Union Institute, Cincinnati, \r', 'Ohio, 1977; clerk, Chicago, Ill., Post Office, 1961-1965; teacher, Chicago, \r', 'Ill., public schools, 1962-1968; executive director, Greater Lawndale \r', 'Conservation Commission, 1969; director of training, Martin L. King \r', 'Neighborhood Health Center, 1969-1971; executive director, Westside Health \r', 'Center, 1975-1981; alderman, Chicago, Ill., city council, 1979-1990; \r', 'commissioner, Cook County, Ill., board, 1990-1996; college professor; \r', 'unsuccessful candidate for election to the United States House of \r', 'Representatives in 1984 and 1986; elected as a Democrat to the One Hundred \r', 'Fifth and to the ten succeeding Congresses (January 3, \r', '1997-present).\r']",D000096,1,0,0,1,0,0,1,0,0,0,1,0
"DAVIS, Rodney","['a Representative from Illinois; born in Des Moines, Polk County, \r', 'Iowa, January 5, 1970; attended the public schools in Taylorville, Ill.; B.A., \r', 'Millikin University, Decatur, Ill., 1992; staff, Illinois secretary of state, \r', '1992-1996; unsuccessful candidate for election to the Illinois state house of \r', 'representatives in 1996; staff, United States Representative John M. Shimkus of \r', 'Illinois, 1997-2012; unsuccessful candidate for mayor of Taylorville, Ill., in \r', '2001; elected as a Republican to the One Hundred Thirteenth and to the two \r', 'succeeding Congresses (January 3, 2013-present). \r']",D000619,1,0,0,0,0,0,0,0,0,0,0,1
"DAVIS, Susan A.","['a Representative from California; born in Cambridge, Middlesex \r', 'County, Mass., April 13, 1944; B.A., University of California, Berkeley, \r', 'Calif., 1965; M.S.W., University of North Carolina, Chapel Hill, N.C., 1968; \r', 'member of the San Diego, Calif., board of education, 1983-1992, president, San \r', 'Diego, Calif., board of education 1989-1992; executive director, Aaron Price \r', 'Fellows, 1990-1994; member of the California state assembly, 1994-2000; elected \r', 'as a Democrat to the One Hundred Seventh and to the eight succeeding Congresses \r', '(January 3, 2001-present). \r']",D000598,1,0,0,0,0,0,1,0,0,0,1,0
"DeFAZIO, Peter Anthony","['a Representative from Oregon; born in Needham, Norfolk County, \r', 'Mass., May 27, 1947; graduated from Needham High School, Needham, Mass., 1965; B.A., Tufts University, Medford, Mass., 1969; M.A., \r', 'University of Oregon, Eugene, Oreg., 1977; United States Air Force Reserve, \r', '1967-1971; staff, United States Representative James Howard Weaver of Oregon, \r', '1977-1982; member of the Lane County, Oreg., board of commissioners, 1983-1986, \r', 'chair, 1985-1986; unsuccessful candidate for nomination to the United States \r', 'Senate in a special primary election in 1995; elected as a Democrat to the One \r', 'Hundredth and to the fifteen succeeding Congresses (January 3, 1987-present). \r']",D000191,1,0,0,0,0,1,0,0,0,0,1,0
"DeGETTE, Diana","['a Representative from Colorado; born in Tachikawa, Japan, July 29, \r', '1957; graduated from South High School, Denver, Colo., 1975; B.A., Colorado \r', 'College, Colorado Springs, Colo., 1979; J.D., New York University, New York, \r', 'N.Y., 1982; member of the Colorado state house of representatives, 1992-1996; \r', 'elected as a Democrat to the One Hundred Fifth and to the ten succeeding \r', 'Congresses (January 3, 1997-present). \r']",D000197,1,0,1,0,0,0,0,0,0,0,0,0
"DELANEY, John","['a Representative from Maryland; born in Wood-Ridge, Bergen County, \r', 'N.J., April 16, 1963; B.S., Columbia University, New York, N.Y., 1985; J.D., \r', 'Georgetown University, Washington, D.C., 1988; lawyer, private practice; \r', 'business owner; elected as a Democrat to the One Hundred Thirteenth and to the \r', 'two succeeding Congresses (January 3, 2013-present). \r']",D000620,0,1,1,0,0,0,0,0,0,0,0,0
"DeLAURO, Rosa L.","['a Representative from Connecticut; born in New Haven, New Haven \r', 'County, Conn., March 2, 1943; graduated from Lauralton Hall High School, \r', 'Milford, Conn.; B.A., Marymount College, Tarrytown, N.Y., 1964; attended the \r', 'London School of Economics, London, England, 1962-1963; M.A., Columbia \r', 'University, New York, N.Y., 1966; staff, Mayor Frank Logue of New Haven, Conn., \r', '1976-1977; campaign manager, Mayor Frank Logue, 1978; staff, New Haven, Conn., \r', 'development administrator, 1977-1979; campaign manager for United States \r', 'Senator Christopher J. Dodd of Connecticut, 1979-1980; staff, United States \r', 'Senator Christopher J. Dodd of Connecticut, 1981-1987; executive director, \r', 'Countdown &#x2018;87, 1987-1988; executive director, EMILY&#x2019;S List, \r', '1989-1990; elected as a Democrat to the One Hundred Second and to the thirteen \r', 'succeeding Congresses (January 3, 1991-present).\r']",D000216,1,0,0,0,0,1,0,0,0,0,1,0
"DelBENE, Suzan K.","['a Representative from Washington; born in Selma, Dallas County, \r', 'Ala., February 17, 1962; B.A., Reed College, Portland, Oreg. 1983; M.B.A., \r', 'University of Washington, Seattle, Wash., 1990; business executive; \r', 'unsuccessful candidate for election to the One Hundred Twelfth Congress  in 2010; director, Washington state department of revenue, \r', '2010-2012; elected simultaneously as a Democrat to the One Hundred Twelfth and \r', 'One Hundred Thirteenth Congresses, by special election, to fill the vacancy \r', 'caused by the resignation of United States Representative Jay Inslee, and \r', 'reelected to the two succeeding Congresses (November 6, \r', '2012-present).\r']",D000617,1,0,0,0,1,0,0,0,0,0,1,0
"DENHAM, Jeff","['a Representative from California; born in Hawthorne, Los Angeles \r', 'County, California, on July 29, 1967; attended Atascadero High School, \r', 'Atascadero, Calif.; graduated from Morro Bay High School, Morro Bay, Calif., \r', '1985; A.A.,Victor Valley Junior College, Victorville, Calif., 1989; B.A., \r', 'California Polytechnic State University, San Luis Obispo, Calif., 1992; United \r', 'States Air Force, 1984-1988; United States Air Force Reserve, 1988-2000; \r', 'business owner; member of the California state senate, 2002-2010; elected as a \r', 'Republican to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present).\r']",D000612,1,0,0,0,0,0,0,0,0,0,0,1
"DENT, Charles W.","['a Representative from Pennsylvania; born in Allentown, Lehigh \r', 'County, Pa., May 24, 1960; graduated from William Allen High School, Allentown, \r', 'Pa., 1978; B.A., Pennsylvania State University, University Park, Pa., 1982; \r', 'M.P.A., Lehigh University, Bethlehem, Pa., 1993; staff, United States \r', 'Representative Donald Ritter of Pennsylvania; college administrator; sales \r', 'representative; hotel clerk; member of the Pennsylvania state house of \r', 'representatives, 1991-1998; member of the Pennsylvania state senate, 1999-2004; \r', 'elected as a Republican to the One Hundred Ninth and to the six succeeding \r', 'Congresses until his resignation on May 12, 2018 (January 3, 2005-May 12, \r', '2018); chair, Committee on Ethics (One Hundred Fourteenth \r', 'Congress).\r']",D000604,1,0,0,0,0,0,0,0,0,0,0,1
"DeSANTIS, Ron","['a Representative from Florida; born in Jacksonville, Duval County, Fla., September 14, 1978; graduated from Dunedin High School, Dunedin, Fla., 1997; B.A., Yale University, New Haven, Conn., 2001; J.D., Harvard University, Cambridge, Mass., 2005; United States Navy, 2004-2010; United States Navy Reserve, 2010-present; author; elected as a Republican to the One Hundred Thirteenth and to the two succeeding Congresses until his resignation on September 10, 2018 (January 3, 2013-September 10, 2018). \r']",D000621,1,0,1,0,0,0,0,0,0,0,0,0
"DESJARLAIS, Scott","['a Representative from Tennessee; born in Des Moines, Polk County, \r', 'Iowa, February 21, 1964; graduated from Brown High School, Sturgis, S.Dak., \r', '1982; B.S., University of South Dakota, Vermillion, S.Dak., 1987; M.D., \r', 'University of South Dakota, Vermillion, S.Dak., 1991; physician; elected as a \r', 'Republican to the One Hundred Twelfth and to the three succeeding Congresses \r', '(January 3, 2011-present). \r']",D000616,0,1,0,0,0,0,0,0,1,0,1,0
"DEUTCH, Theodore E. (Ted)","['a Representative from Florida; born in Bethlehem, Northampton \r', 'County, Pa., May 7, 1966; graduated from Liberty High School, Bethlehem, Pa., \r', '1984; A.B., University of Michigan, Ann Arbor, Mich., 1988; J.D., University of \r', 'Michigan, Ann Arbor, Mich., 1990; lawyer, private practice; member of the \r', 'Florida state senate, 2007-2010; elected as a Democrat to the One Hundred \r', 'Eleventh Congress, by special election, to fill the vacancy caused by the \r', 'resignation of United States Representative Robert Wexler, and reelected to the \r', 'four succeeding Congresses (April 13, 2010-present).\r']",D000610,1,0,1,0,0,0,0,0,0,0,0,0
"DIAZ-BALART, Mario","[' (brother of Lincoln Diaz-Balart), \r', 'a Representative from Florida; born in Fort Lauderdale, Broward \r', 'County, Fla., September 25, 1961; attended the University of South Florida, \r', 'Tampa, Fla.; marketing executive; member of the Florida state house of \r', 'representatives, 1988-1992, 2000-2002; member of the Florida state senate, \r', '1992-2000; elected as a Republican to the One Hundred Eighth and to the seven \r', 'succeeding Congresses (January 3, 2003-present).\r']",D000600,0,0,0,0,0,0,0,0,0,0,0,1
"DINGELL, John David, Jr.","[' (son of John David Dingell and husband of Debbie \r', 'Dingell), \r', 'a Representative from Michigan; born in Colorado Springs, El Paso \r', 'County, Colo., July 8, 1926; attended Capitol Page School, Washington, D.C., \r', 'and Georgetown Preparatory School, Garrett Park, Md.; Page, United States House \r', 'of Representatives, 1938-1943; B.S., Georgetown University, Washington, D.C., \r', '1949; J.D., Georgetown University Law School, Washington, D.C., 1952; United \r', 'States Army, 1944-1946; lawyer, private practice; research assistant, United \r', 'States Circuit Judge Theodore Levin, 1952-1953; assistant prosecuting attorney \r', 'of Wayne County, Mich., 1954-1955; delegate to the Democratic National \r', 'Conventions in 1956, 1960, 1968, 1980 and 1984; elected as a Democrat to the \r', 'Eighty-fourth Congress, by special election, to fill the vacancy caused by the \r', 'death of his father, United States Representative John D. Dingell, Sr., and \r', 'reelected to the twenty-nine succeeding Congresses (December 13, 1955-January \r', '3, 2015); was not a candidate for reelection to the One Hundred Fourteenth \r', 'Congress in 2014; chair, Committee on Energy and Commerce (Ninety-seventh \r', 'through One Hundred Third Congresses and One Hundred Tenth Congress). \r']",D000355,0,1,1,0,0,0,0,0,0,0,0,0
"DOGGETT, Lloyd Alton, II","['a Representative from Texas; born in Austin, Travis County, Tex., \r', 'October 6, 1946; graduated from Austin High School, Austin, Tex., 1964; B.A., \r', 'University of Texas, Austin, Tex., 1967; J.D., University of Texas School of \r', 'Law, 1970; member of the Texas state senate, 1973-1985; justice of the Texas \r', 'supreme court, 1989-1994; adjunct professor, University of Texas School of Law, \r', 'Austin, Tex., 1989-1994; unsuccessful candidate for election to the United \r', 'States Senate in 1984; elected as a Democrat to the One Hundred Fourth and to \r', 'the eleven succeeding Congresses (January 3, 1995-present).\r']",D000399,1,0,1,0,0,0,0,0,0,0,0,0
"DOYLE, Michael F.","['a Representative from Pennsylvania; born in Swissvale, Allegheny \r', 'County, Pa., August 5, 1953; graduated from Swissvale Area High School, \r', 'Swissvale, Pa., 1971; B.S., Pennsylvania State University, University Park, \r', 'Pa., 1975; member of the Swissvale, Pa., borough council, 1977-1981; staff, \r', 'Pennsylvania state senator Frank Pecora, 1979-1994; elected as a Democrat to \r', 'the One Hundred Fourth and to the eleven succeeding Congresses (January 3, \r', '1995-present). \r']",D000482,0,1,0,0,0,0,0,0,0,0,0,1
"DUCKWORTH, Tammy","['a Senator and a Representative from Illinois; born in Bangkok, \r', 'Thailand, March 12, 1968; graduated from President William McKinley High \r', 'School, Honolulu, Hawaii, 1985; B.A., University of Hawaii, Manoa, Hawaii, \r', '1989; M.A., The George Washington University, Washington, D.C., 1992; attended \r', 'Northern Illinois University, DeKalb, Ill.; helicopter pilot, U.S. Army \r', 'Reserve, 1992-1996; Illinois Army National Guard, 1996-2014, attaining the rank \r', 'of lieutenant colonel; served in Operation Iraqi Freedom, and was awarded the \r', 'Purple Heart; unsuccessful candidate for election to the United States House of \r', 'Representatives in 2006; director, Ill. department of veterans&#146; affairs, \r', '2006-2009; assistant secretary, United States Department of Veterans&#146; Affairs, \r', '2009-2011; delegate to the Democratic National Convention, 2012; elected as a \r', 'Democrat to the One Hundred Thirteenth Congress and to the succeeding Congress \r', '(January 3, 2013-January 3, 2017); was not a candidate for reelection to the \r', 'House of Representatives but was elected as a Democrat to the United States \r', 'Senate in 2016 for the term ending January 3, 2023.\r']",D000622,1,0,0,0,0,1,0,0,0,0,1,0
"DUFFY, Sean","['a Representative from Wisconsin; born in Hayward, Sawyer County, \r', 'Wis., October 3, 1971; B.A., St. Mary&#146;s College, Winona, Minn., 1994; J.D., \r', 'William Mitchell College of Law, St. Paul, Minn., 1999; lawyer, private \r', 'practice; prosecutor, Ashland County, Wis.; acting assistant district attorney \r', 'and district attorney, Ashland County, Wis., 2002-2010; elected as a Republican \r', 'to the One Hundred Twelfth and to the three succeeding Congresses (January 3, \r', '2011-present).\r']",D000614,1,0,1,0,0,0,0,0,0,0,0,0
"DUNCAN, Jeff","['a Representative from South Carolina; born in Greenville, Greenville \r', 'County, S.C., January 7, 1966; graduated from Ware Shoals High School, Ware \r', 'Shoals, S.C., 1984; B.A., Clemson University, Clemson, S.C., 1988; banker; real \r', 'estate broker; member of the South Carolina state house of representatives, \r', '2003-2010; elected as a Republican to the One Hundred Twelfth and to the three \r', 'succeeding Congresses (January 3, 2011-present).\r']",D000615,1,0,0,0,0,0,0,0,0,0,0,1
"DUNCAN, John J., Jr.","[' (son of John James Duncan), \r', 'a Representative from Tennessee; born in Lebanon, Wilson County, \r', 'Tenn., July 21, 1947; graduated from Holston High School, Knoxville, Tenn.; \r', 'B.S., University of Tennessee, Knoxville, Tenn., 1969; J.D., National Law \r', 'Center, George Washington University, Washington, D.C., 1973; lawyer, private \r', 'practice; Army National Guard, 1970-1987; United States Army Reserve, \r', '1970-1987; state trial judge, Knox County, Tenn., 1981-1988; elected as a \r', 'Republican to the One Hundredth Congress, by special election, to fill the \r', 'vacancy caused by the death of his father, John J. Duncan, and simultaneously \r', 'elected to the One Hundred First Congress; reelected to the One Hundred Second \r', 'and to the thirteen succeeding Congresses (November 8, 1988-present). \r']",D000533,0,1,1,0,0,0,0,0,0,0,0,0
"EDWARDS, Donna F.","['a Representative from Maryland; born in Yanceyville, Caswell County, \r', 'N.C., June 28, 1958; B.A., Wake Forest University, Winston-Salem, N.C., 1980; \r', 'J.D., Franklin Pierce Law Center, Concord, N. H., 1989; lawyer, private \r', 'practice; clerk, District of Columbia Superior Court Judge; executive director, \r', 'National Network to End Domestic Violence; executive director, Center for a New \r', 'Democracy; executive director, The Arca Foundation; elected as a Democrat to \r', 'the One Hundred Tenth Congress, by special election, to fill the vacancy caused \r', 'by the resignation of United States Representative Albert Russell Wynn, and \r', 'reelected to the four succeeding Congresses (June 17, 2008-January 3, 2017); \r', 'was not a candidate for reelection to the One Hundred Fifteenth Congress in \r', '2016, but was an unsuccessful candidate for nomination to the United States \r', 'Senate.\r']",E000290,1,0,1,0,0,0,0,0,0,0,0,0
"ELLISON, Keith","['a Representative from Minnesota; born in Detroit, Wayne County, \r', 'Mich., August 4, 1963; graduated from University of Detroit Jesuit High School \r', 'and Academy, Detroit, Mich., 1981; B.A., Wayne State University, Detroit, \r', 'Mich., 1986; J.D., University of Minnesota Law School, Minneapolis, Minn., \r', '1990; lawyer, private practice; member of the Minnesota state house of \r', 'representatives, 2003-2006; elected as a Democrat to the One Hundred Tenth and \r', 'to the five succeeding Congresses (January 3, 2007-present).\r']",E000288,1,0,1,0,0,0,0,0,0,0,0,0
"ELLMERS, Renee","['a Representative from North Carolina; born in Ironwood, Gogebic \r', 'County, Mich., February 9, 1964; graduated from Madison High School, Madison \r', 'Heights, Mich.; B.S., Oakland University, Rochester, Mich., 1990; registered \r', 'nurse; hospital administrator; member of the Dunn, N.C., planning board, \r', '2006-2010; chair, Dunn, N.C., planning board, 2008-2010; elected as a \r', 'Republican to the One Hundred Twelfth and to the two succeeding Congresses \r', '(January 3, 2011-January 3, 2017); unsuccessful candidate for renomination to \r', 'the One Hundred Fifteenth Congress in 2016.\r']",E000291,0,1,0,0,0,0,0,0,0,0,0,1
"EMERSON, Jo Ann","[' (wife of Bill Emerson), \r', 'a Representative from Missouri; born in Bethesda, Montgomery County, \r', 'Md., September 16, 1950; graduated from Walt Whitman High School, Bethesda, \r', 'Md., 1968; B.A., Ohio Wesleyan University, Delaware, Ohio, 1972; professional \r', 'advocate; elected as a Republican to the One Hundred Fourth Congress, by \r', 'special election to fill the vacancy caused by the death of her husband, United \r', 'States Representative Bill Emerson, and simultaneously elected as an \r', 'Independent to the One Hundred Fifth Congress; resumed prior party affiliation \r', 'as a Republican at the start of the One Hundred Fifth Congress; reelected as a \r', 'Republican to the One Hundred Sixth and to the seven succeeding Congresses \r', 'until her resignation on January 22, 2013 (November 5, 1996-January 22, 2013). \r']",E000172,1,0,0,0,0,0,0,0,0,0,0,1
"ENGEL, Eliot Lance","['a Representative from New York; born in New York, Bronx County, \r', 'N.Y., February 18, 1947; attended Bronx public schools; B.A., Hunter-Lehman \r', 'College, City University of New York, New York, N.Y., 1969; M.A., Herbert H. \r', 'Lehman College, City University of New York, New York, N.Y., 1973; J.D., New \r', 'York Law School, New York, N.Y., 1987; teacher; member of the New York state \r', 'assembly, 1977-1988; elected as a Democrat to the One Hundred First and to the \r', 'fourteen succeeding Congresses (January 3,1989-present).\r']",E000179,1,0,1,0,0,1,0,0,0,0,1,0
"ENYART, Bill","['a Representative from Illinois; born in Pensacola, Escambia County, \r', 'Fla., September 22, 1949; attended University of Illinois, Springfield, Ill.; \r', 'B.A., Southern Illinois University, Edwardsville, Ill., 1974; J.D., Southern \r', 'Illinois University, Edwardsville, Ill., 1979; M.S.S., United States Army War \r', 'College, Carlisle, Pa., 2000; United States Air Force, 1969-1973; United States \r', 'Air Force Reserve, 1973-1975; attorney; businessman; Illinois Army National \r', 'Guard, 1982-2012; adjutant general, Illinois Army National Guard, 2007-2012; \r', 'elected as a Democrat to the One Hundred Thirteenth Congress (January 3, \r', '2013-January 3, 2015); unsuccessful candidate for reelection to the One Hundred \r', 'Fourteenth Congress in 2014. \r']",E000292,1,0,1,0,0,0,1,0,0,0,1,0
"ESHOO, Anna Georges","['a Representative from California; born in New Britain, Hartford \r', 'County, Conn., December 13, 1942; A.A., Canada College, Redwood City, Calif., \r', '1975; Democratic National Committeewoman from California, 1980-1992; chief of \r', 'staff, speaker pro tempore of the California state assembly, 1981-1982; member \r', 'of the San Mateo County, Calif., board of supervisors, 1983-1992, president, \r', '1986; member, California Democratic state central executive committee; member \r', 'of the Democratic National Commission on Presidential Nominations, 1982; \r', 'unsuccessful candidate for election to the United States House of \r', 'Representatives in 1988; elected as a Democrat to the One Hundred Third and to \r', 'the twelve succeeding Congresses (January 3, 1993-present). \r']",E000215,0,0,0,0,0,0,0,0,0,0,0,1
"ESTY, Elizabeth","['a Representative from Connecticut; born in Oak Park, Cook County, \r', 'Ill., August 25, 1959; graduated from Winona High School, Winona, Minn., 1977; \r', 'A.B., Harvard University, Cambridge, Mass., 1981; J.D., Yale University, New \r', 'Haven, Conn., 1985; law clerk; lawyer, private practice; professor; member of \r', 'the Cheshire, Conn., town council, 2005-2008; member of the Connecticut state \r', 'general assembly, 2008-2010; elected as a Democrat to the One Hundred \r', 'Thirteenth Congress and to the two succeeding Congresses (January 3, \r', '2013-present).\r']",E000293,1,0,1,0,0,0,0,0,0,0,0,0
"FARENTHOLD, Blake","['a Representative from Texas; born in Corpus Christi, Nueces County, \r', 'Tex., December 12, 1961; graduated from Incarnate Word High School, Corpus \r', 'Christi, Tex., 1980; B.S., University of Texas, Austin, Tex., 1985; J.D., St. \r', 'Mary&#146;s University School of Law, San Antonio, Tex., 1989; lawyer, private \r', 'practice; business owner; radio commentator; elected as a Republican to the One \r', 'Hundred Twelfth and to the three succeeding Congresses until his resignation on April 6, 2018 (January 3, \r', '2011-April 6, 2018).\r']",F000460,0,1,1,0,0,0,0,0,0,0,0,0
"FARR, Sam","['a Representative from California; born in San Francisco, San \r', 'Francisco County, Calif., July 4, 1941; graduated from Carmel High School, \r', 'Carmel-by-the-Sea, Calif., 1959; B.S., Willamette University, Salem, Oreg., \r', '1963; attended Santa Clara University, Santa Clara, Calif.; attended the \r', 'Monterey Institute of International Studies, Monterey, Calif.; United States \r', 'Peace Corps, 1963-1965; staff, California state assembly; member of the \r', 'Monterey County, Calif., board of supervisors, 1975-1980; chair, 1979; member \r', 'of the California state assembly, 1980-1993; elected as a Democrat to the One \r', 'Hundred Third Congress, by special election, to fill the vacancy caused by the \r', 'resignation of United States Representative Leon Panetta, and reelected to the \r', 'eleven succeeding Congresses (June 8, 1993-January 3, 2017); was not a \r', 'candidate for reelection to the One Hundred Fifteenth Congress in 2016. \r']",F000030,0,1,0,0,0,0,0,0,0,0,0,1
"FATTAH, Chaka","['a Representative from Pennsylvania; born in Philadelphia, \r', 'Philadelphia County, Pa., November 21, 1956; attended Overbrook High School, \r', 'Philadelphia, Pa.; Community College of Philadelphia, Philadelphia, Pa.; \r', 'University of Pennsylvania&#146;s Wharton School, Philadelphia, Pa., 1977; M.A., \r', 'University of Pennsylvania&#146;s Fels School of State and Local Government, \r', 'Philadelphia, Pa., 1986; attended John F. Kennedy School of Government, Harvard \r', 'University, Cambridge, Mass., 1984; special assistant to director of housing \r', 'and community development, Philadelphia, Pa., 1980; special assistant to \r', 'managing director of housing and community development, Philadelphia, Pa., \r', '1981; policy assistant, Greater Philadelphia Partnership; member of the \r', 'Pennsylvania state house of representatives, 1982-1988; member of the \r', 'Pennsylvania state senate, 1988-1994; elected as a Democrat to the One Hundred \r', 'Fourth and to the ten succeeding Congresses until his resignation on June 23, \r', '2016 (January 3, 1995-June 23, 2016). \r']",F000043,0,0,0,0,0,1,0,0,0,0,1,0
"FINCHER, Stephen Lee","['a Representative from Tennessee; born in Memphis, Shelby County, \r', 'Tenn., February 7, 1973; graduated from Crockett County High School, Alamo, \r', 'Tenn., 1990; farmer; business owner; elected as a Republican to the One Hundred \r', 'Twelfth and to the two succeeding Congresses (January 3, 2011-January 3, 2017); \r', 'was not a candidate for reelection to the One Hundred Fifteenth Congress in \r', '2016.\r']",F000458,0,0,0,0,0,0,0,0,0,0,0,1
"FITZPATRICK, Michael G.","[' (brother of Brian K. Fitzpatrick), \r', 'a Representative from Pennsylvania; born in Philadelphia, \r', 'Philadelphia County, Pa., June 28, 1963; B.A., St. Thomas University, Miami \r', 'Gardens, Florida, 1985; J.D., Dickinson School of Law, Carlisle, Pa., 1988; \r', 'lawyer, private practice; Bucks County, Pa. commissioner, 1995-2004; elected as \r', 'a Republican to the One Hundred Ninth Congress (January 3, 2005-January 3, \r', '2007); unsuccessful candidate for reelection to the One Hundred Tenth Congress \r', 'in 2006; elected as a Republican to the One Hundred Twelfth and to the two \r', 'succeeding Congresses (January 3, 2011-January 3, 2017); was not a candidate \r', 'for reelection to the One Hundred Fifteenth Congress in 2016.\r']",F000451,1,0,1,0,0,0,0,0,0,0,0,0
"FLEISCHMANN, Chuck","['a Representative from Tennessee; born in Manhattan, New York County, \r', 'N.Y., October 11, 1962; B.A., University of Illinois, Urbana-Champaign, Ill., \r', '1983; J.D., University of Tennessee, Knoxville, Tenn., 1986; lawyer, private \r', 'practice; elected as a Republican to the One Hundred Twelfth and to the three \r', 'succeeding Congresses (January 3, 2011-present). \r']",F000459,1,0,1,0,0,0,0,0,0,0,0,0
"FLEMING, John","[' (relative of Henry Clay and John Thomas Clay), \r', 'a Representative from Louisiana; born in Meridian, Lauderdale \r', 'County, Miss., July 5, 1951; B.S., University of Mississippi, Oxford, Miss., \r', '1973; M.D., University of Mississippi, Jackson, Miss., 1976; United States \r', 'Navy, 1976-1982; physician; entrepreneur; Webster Parish, La., coroner, \r', '1996-2000; elected as a Republican to the One Hundred Eleventh and to the three \r', 'succeeding Congresses (January 3, 2009-January 3, 2017); was not a candidate \r', 'for reelection to the One Hundred Fifteenth Congress in 2016, but was an \r', 'unsuccessful candidate for election to the United States Senate.\r']",F000456,0,1,0,0,0,0,0,0,1,0,1,0
"FLORES, Bill","['a Representative from Texas; born in Cheyenne, Laramie County, Wyo., \r', 'February 25, 1954; B.B.A., Texas A&amp;M University, College Station, Tex., \r', '1976; M.B.A., Houston Baptist University, Houston, Tex., 1985; certified public \r', 'accountant; energy company executive; elected as a Republican to the One \r', 'Hundred Twelfth and to the three succeeding Congresses (January 3, \r', '2011-present).\r']",F000461,1,0,0,0,1,0,0,0,0,0,1,0
"FORBES, J. Randy","['a Representative from Virginia; born in Chesapeake, Chesapeake \r', 'County, Va., February 17, 1952; graduated from Great Bridge High School, \r', 'Chesapeake, Va., 1970; B.A., Randolph-Macon College, Ashland, Va., 1974; J.D., \r', 'University of Virginia, Charlottesville, Va., 1977; lawyer, private practice; \r', 'chairman, Republican Party of Virginia, 1996-2001; member of the Virginia state \r', 'house of delegates, 1989-1997; member of the Virginia state senate, 1997-2001; \r', 'elected as a Republican to the One Hundred Seventh Congress, by special \r', 'election, to fill the vacancy caused by the death of United States \r', 'Representative Norman Sisisky, and reelected to the seven succeeding Congresses \r', '(June 19, 2001-January 3, 2017); unsuccessful candidate for renomination to the \r', 'One Hundred Fifteenth Congress in 2016.\r']",F000445,1,0,1,0,0,0,0,0,0,0,0,0
"FORTENBERRY, Jeff","['a Representative from Nebraska; born in Baton Rouge, East Baton \r', 'Rouge Parish, La., December 27, 1960; B.A., Louisiana State University, Baton \r', 'Rouge, La., 1982; M.P.P., Georgetown University, Washington, D.C., 1986; M.Th., \r', 'Franciscan University, Steubenville, Ohio, 1996; member of the Lincoln, Nebr., \r', 'city council, 1997-2001; publishing executive; elected as a Republican to the \r', 'One Hundred Ninth and to the six succeeding Congresses (January 3, \r', '2005-present).\r']",F000449,1,0,0,0,0,0,0,0,0,0,0,1
"FOSTER, Bill","['a Representative from Illinois; born in Madison, Wis., October 7, \r', '1955; B.A. University of Wisconsin, Madison, Dane County, Wis., 1975; Ph.D., \r', 'Harvard University, Cambridge, Mass., 1984; physicist; entrepreneur; board \r', 'member, Batavia Foundation for Educational Excellence; elected as a Democrat to \r', 'the One Hundred Tenth Congress, by special election, to fill the vacancy caused \r', 'by the resignation of United States Representative John Dennis Hastert, and \r', 'reelected to the succeeding Congress (March 8, 2008-January 3, 2011); \r', 'unsuccessful candidate for reelection to the One Hundred Twelfth Congress in \r', '2010; elected as a Democrat to the One Hundred Thirteenth and to the two \r', 'succeeding Congresses (January 3, 2013-present).\r']",F000454,1,0,0,1,0,0,0,0,0,0,1,0
